Issue,customfield_10731,customfield_10120,customfield_10121,customfield_10630,customfield_10122,customfield_10830,customfield_10123,customfield_10100,customfield_10126
IMPORT-355,1128693778531,gcv,PRGSC,ROTTIER07,35861,,TCVSP_ROTTIER_00076,00076,
IMPORT-354,1128693778530,gcv,PRGSC,ROTTIER07,35860,,TCVSP_ROTTIER_00075,00075,
IMPORT-353,1128693778529,gcv,PRGSC,ROTTIER07,35859,,TCVSP_ROTTIER_00074,00074,
IMPORT-352,1128693778528,gcv,PRGSC,ROTTIER07,35858,,TCVSP_ROTTIER_00073,00073,
IMPORT-351,1128693778527,gcv,PRGSC,ROTTIER07,35857,,TCVSP_ROTTIER_00072,00072,
IMPORT-350,1128693778507,gcv,PRGSC,ROTTIER07,35856,,TCVSP_ROTTIER_00071,00071,
IMPORT-349,1128693778506,gcv,PRGSC,ROTTIER07,35855,,TCVSP_ROTTIER_00070,00070,
IMPORT-346,1128693778505,gcv,PRGSC,ROTTIER07,35854,,TCVSP_ROTTIER_00069,00069,
IMPORT-345,1127650007820,gcv,MDVERO,MDVERO02,35603,MDVERO_batch1,TCVSP_MDVERO_00050,00050,
IMPORT-344,1127650007819,gcv,MDVERO,MDVERO02,35602,MDVERO_batch1,TCVSP_MDVERO_00049,00049,
IMPORT-343,1127650007818,gcv,MDVERO,MDVERO02,35601,MDVERO_batch1,TCVSP_MDVERO_00048,00048,
IMPORT-342,1127650007817,gcv,MDVERO,MDVERO02,35600,MDVERO_batch1,TCVSP_MDVERO_00047,00047,
IMPORT-341,1127650007816,gcv,MDVERO,MDVERO02,35599,MDVERO_batch1,TCVSP_MDVERO_00046,00046,
IMPORT-340,1127650007815,gcv,MDVERO,MDVERO02,35598,MDVERO_batch1,TCVSP_MDVERO_00045,00045,
IMPORT-339,1127650007814,gcv,MDVERO,MDVERO02,35597,MDVERO_batch1,TCVSP_MDVERO_00044,00044,
